date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-01,California,State,Delta,0.0,0.0,,
2021-01-01,California,State,Alpha,1.0,1.69,,
2021-01-01,California,State,Other,29.0,49.15,,
2021-01-01,California,State,Total,59.0,100.0,,
2021-01-01,California,State,Beta,0.0,0.0,,
2021-01-01,California,State,Omicron,1.0,1.69,,
2021-01-01,California,State,Gamma,0.0,0.0,,
2021-01-01,California,State,Epsilon,28.0,47.46,,
2021-01-01,California,State,Lambda,0.0,0.0,,
2021-01-01,California,State,Mu,0.0,0.0,,
2021-01-02,California,State,Epsilon,46.0,42.99,,
2021-01-02,California,State,Mu,0.0,0.0,,
2021-01-02,California,State,Delta,1.0,0.93,,
2021-01-02,California,State,Total,107.0,100.0,,
2021-01-02,California,State,Alpha,6.0,5.61,,
2021-01-02,California,State,Omicron,1.0,0.93,,
2021-01-02,California,State,Lambda,0.0,0.0,,
2021-01-02,California,State,Beta,0.0,0.0,,
2021-01-02,California,State,Other,53.0,49.53,,
2021-01-02,California,State,Gamma,0.0,0.0,,
2021-01-03,California,State,Alpha,5.0,1.87,,
2021-01-03,California,State,Lambda,0.0,0.0,,
2021-01-03,California,State,Total,267.0,100.0,,
2021-01-03,California,State,Mu,0.0,0.0,,
2021-01-03,California,State,Other,140.0,52.43,,
2021-01-03,California,State,Beta,0.0,0.0,,
2021-01-03,California,State,Epsilon,117.0,43.82,,
2021-01-03,California,State,Omicron,2.0,0.75,,
2021-01-03,California,State,Gamma,1.0,0.37,,
2021-01-03,California,State,Delta,2.0,0.75,,
2021-01-04,California,State,Gamma,0.0,0.0,,
2021-01-04,California,State,Total,1260.0,100.0,,
2021-01-04,California,State,Beta,0.0,0.0,,
2021-01-04,California,State,Alpha,5.0,0.4,,
2021-01-04,California,State,Delta,5.0,0.4,,
2021-01-04,California,State,Omicron,0.0,0.0,,
2021-01-04,California,State,Other,558.0,44.29,,
2021-01-04,California,State,Epsilon,692.0,54.92,,
2021-01-04,California,State,Mu,0.0,0.0,,
2021-01-04,California,State,Lambda,0.0,0.0,,
2021-01-05,California,State,Delta,0.0,0.0,,
2021-01-05,California,State,Alpha,16.0,1.98,,
2021-01-05,California,State,Lambda,0.0,0.0,,
2021-01-05,California,State,Epsilon,439.0,54.2,,
2021-01-05,California,State,Mu,0.0,0.0,,
2021-01-05,California,State,Total,810.0,100.0,,
2021-01-05,California,State,Other,355.0,43.83,,
2021-01-05,California,State,Omicron,0.0,0.0,,
2021-01-05,California,State,Beta,0.0,0.0,,
2021-01-05,California,State,Gamma,0.0,0.0,,
2021-01-06,California,State,Mu,0.0,0.0,,
2021-01-06,California,State,Gamma,0.0,0.0,,
2021-01-06,California,State,Lambda,0.0,0.0,,
2021-01-06,California,State,Other,155.0,41.89,,
2021-01-06,California,State,Omicron,2.0,0.54,,
2021-01-06,California,State,Alpha,3.0,0.81,,
2021-01-06,California,State,Total,370.0,100.0,,
2021-01-06,California,State,Beta,0.0,0.0,,
2021-01-06,California,State,Delta,3.0,0.81,,
2021-01-06,California,State,Epsilon,207.0,55.95,,
2021-01-07,California,State,Delta,0.0,0.0,1.57142857142,0.346893724377
2021-01-07,California,State,Total,298.0,100.0,453.0,100.0
2021-01-07,California,State,Gamma,0.0,0.0,0.14285714285,0.031535793125
